Indiv1,Indiv2,Pop,TrioMl,Wang,LynchLi,LynchRd,Ritland,Queller,DyadML
R006F021M0,R006F021M1,R0R0,0,-0.0446,-0.0769,-0.348,-0.2156,-0.2766,0
R006F022M0,R006F022M1,R0R0,0,0.2394,0.1624,-0.1103,-0.1252,0.124,0
R006F023M0,R006F023M1,R0R0,0,-0.3031,-0.3162,-0.4612,-0.1951,-0.497,0
R006F024M0,R006F024M1,R0R0,0,-0.137,-0.0769,-0.3201,-0.1707,-0.0527,0
R006F025M0,R006F025M1,R0R0,0,-0.052,-0.0769,-0.006,0.1304,-0.0254,0
R006F026M0,R006F026M1,R0R0,0,-0.2968,-0.1965,-0.1379,-0.224,-0.2311,0
R006F027M0,R006F027M1,R0R0,0,-0.1596,-0.1965,-0.0468,-0.1929,-0.2294,0
R006F028M0,R006F028M1,R0R0,0.0414,-0.0102,-0.0769,-0.0947,0.0742,-0.0036,0.0414
R006F029M0,R006F029M1,R0R0,0,-0.1882,-0.1965,-0.1267,0.0516,-0.1297,0
R006F030M0,R006F030M1,R0R0,0,0.0307,-0.0769,-0.1606,-0.0115,-0.0742,0
R006F031M0,R006F031M1,R0R0,0,-0.2802,-0.1965,-0.4194,-0.3539,-0.6427,0
R006F032M0,R006F032M1,R0R0,0,-0.6588,-0.5555,-0.1297,-0.0018,-0.5321,0
R006F033M0,R006F033M1,R0R0,0,-0.2287,-0.3162,-0.2349,-0.1798,-0.2309,0
R006F034M0,R006F034M1,R0R0,0.1543,0.1992,0.2821,0.0636,0.0703,0.2283,0.1543
R006F035M0,R006F035M1,R0R0,0,-0.6163,-0.5555,-0.1588,-0.427,-0.5336,0
R006F036M0,R006F036M1,R0R0,0,-0.5151,-0.5555,-0.2796,-0.2963,-0.954,0
R006F037M0,R006F037M1,R0R0,0.072,0.2555,0.0428,0.0564,0.3399,0.1477,0.1522
R006F038M0,R006F038M1,R0R0,0.2185,0.0678,0.1624,0.2999,0.4757,0.3052,0.2923
R006F039M0,R006F039M1,R0R0,0.0828,0.195,0.2821,0.0472,-0.0058,0.2895,0.0828
R006F040M0,R006F040M1,R0R0,0.1118,-0.2349,-0.1965,-0.0402,0.0998,0.0005,0.1796
R006F041M0,R006F041M1,R0R0,0.1184,0.2056,0.1624,0.0881,0.0347,0.116,0.1184
R006F042M0,R006F042M1,R0R0,0,-0.8134,-1.0341,-0.2522,-0.3576,-0.5012,0
R006F043M0,R006F043M1,R0R0,0,-0.3291,-0.4358,-0.4439,-0.3262,-0.3067,0
R006F044M0,R006F044M1,R0R0,0,-0.5798,-0.5555,-0.4151,-0.4782,-0.353,0
R006F045M0,R006F045M1,R0R0,0,-0.4106,-0.5555,-0.2766,-0.3015,-0.5588,0
R006F046M0,R006F046M1,R0R0,0,-0.4898,-0.4358,-0.1147,-0.3644,-0.0744,0
R006F047M0,R006F047M1,R0R0,0.1426,0.4779,0.5214,0.2118,0.005,0.5017,0.2653
R006F048M0,R006F048M1,R0R0,0.1905,0.4869,0.4017,0.7413,0.6072,0.3255,0.3111
R006F049M0,R006F049M1,R0R0,0,-0.1588,-0.0769,-0.2633,-0.0493,-0.193,0
R006F050M0,R006F050M1,R0R0,0,0.0323,-0.0769,-0.1432,-0.2447,-0.2023,0
R006F051M0,R006F051M1,R0R0,0.1499,0.0905,0.1624,0.1163,0.2294,0.265,0.1499
R006F052M0,R006F052M1,R0R0,0,-0.7371,-0.6751,-0.3381,-0.0169,-0.188,0
R006F053M0,R006F053M1,R0R0,0.2725,0.3486,0.4017,0.0682,0.0366,0.3971,0.3216
R006F054M0,R006F054M1,R0R0,0.1153,-0.0095,-0.0769,0.364,0.0657,-0.1666,0.1718
R006F055M0,R006F055M1,R0R0,0,0.1104,0.1624,-0.0585,-0.2264,-0.0509,0
R006F056M0,R006F056M1,R0R0,0.3357,0.2038,0.2821,0.3133,0.3074,0.4764,0.3952
R006F057M0,R006F057M1,R0R0,0,-0.166,-0.0769,-0.2878,-0.2228,-0.3337,0
R006F058M0,R006F058M1,R0R0,0,-0.2701,-0.1965,-0.3447,-0.2279,-0.206,0
R006F059M0,R006F059M1,R0R0,0,-0.634,-0.6751,-0.0863,-0.2437,-0.3572,0
R006F060M0,R006F060M1,R0R0,0.3279,0.4607,0.4017,0.1903,0.3233,0.6169,0.3702
R006F061M0,R006F061M1,R0R0,0.122,-0.382,-0.5555,0.0302,0.4243,-0.0012,0.1617
R006F062M0,R006F062M1,R0R0,0.3913,0.7399,0.7607,0.4712,0.1363,0.6559,0.5869
R006F063M0,R006F063M1,R0R0,0,0.3446,0.4017,-0.0129,-0.0659,0.3063,0
R006F064M0,R006F064M1,R0R0,0.5,0.4781,0.5214,0.4601,0.1233,0.5464,0.5
R006F065M0,R006F065M1,R0R0,0,-0.4355,-0.4358,-0.007,0.2136,-0.0961,0
R006F066M0,R006F066M1,R0R0,0.1548,0.3403,0.4017,0.1855,0.0968,0.1646,0.2897
R006F067M0,R006F067M1,R0R0,0,-0.2216,-0.1965,-0.0258,-0.0744,-0.0921,0
R006F068M0,R006F068M1,R0R0,0,-0.1597,-0.0769,-0.038,-0.1877,-0.1797,0
R006F069M0,R006F069M1,R0R0,0,-1.0982,-1.1537,-0.3666,-0.493,-0.5994,0
R006F070M0,R006F070M1,R0R0,0,0.3346,0.4017,-0.1236,-0.0225,0.0651,0
R006F071M0,R006F071M1,R0R0,0.1264,0.0974,0.0428,0.2302,0.3427,-0.1565,0.2478
R006F072M0,R006F072M1,R0R0,0,-0.2647,-0.4358,-0.2456,-0.2739,-0.3856,0
R006F073M0,R006F073M1,R0R0,0,-0.1302,-0.0769,-0.0488,0.1469,-0.0863,0
R006F074M0,R006F074M1,R0R0,0,-0.0323,-0.0769,-0.2605,-0.0784,-0.2075,0
R006F075M0,R006F075M1,R0R0,0,0.3207,0.0428,-0.2546,-0.0886,0.0085,0
R006F076M0,R006F076M1,R0R0,0.2525,0.18,0.1624,0.0108,0.0924,0.3786,0.32
R006F077M0,R006F077M1,R0R0,0.0166,-0.6341,-0.5555,-0.0743,-0.1565,-0.2828,0.0166
R006F078M0,R006F078M1,R0R0,0.0109,-0.4681,-0.4358,-0.0324,-0.2481,-0.2505,0.0109
R006F079M0,R006F079M1,R0R0,0,0.196,0.1624,-0.2156,-0.0766,-0.052,0
R006F080M0,R006F080M1,R0R0,0,-0.1755,-0.3162,-0.0078,0.1725,0.0695,0
R006F081M0,R006F081M1,R0R0,0,-0.495,-0.4358,-0.1136,-0.3484,-0.2541,0
R006F082M0,R006F082M1,R0R0,0,0.1859,0.1624,0.052,0.1284,0.1841,0.2194
R006F083M0,R006F083M1,R0R0,0.3716,0.2051,0.1624,0.2916,0.5474,0.343,0.446
R006F084M0,R006F084M1,R0R0,0,-0.504,-0.5555,-0.2502,-0.2735,-0.3328,0
R006F085M0,R006F085M1,R0R0,0.5,0.5142,0.5214,0.2488,0.1111,0.3641,0.5
R006F086M0,R006F086M1,R0R0,0.5,0.4433,0.4017,0.1597,0.1461,0.3824,0.5
R006F087M0,R006F087M1,R0R0,0.0325,0.1901,0.2821,0.0206,-0.038,-0.3193,0.0325
R006F088M0,R006F088M1,R0R0,0,-0.2288,-0.1965,-0.259,-0.2031,-0.1829,0
R006F089M0,R006F089M1,R0R0,0,0.2369,0.1624,-0.0786,-0.1444,-0.0282,0
R006F090M0,R006F090M1,R0R0,0.1976,0.4679,0.4017,0.1347,0.1277,0.4557,0.2504
R006F091M0,R006F091M1,R0R0,0,-0.042,-0.1965,-0.0368,-0.0745,-0.3925,0
R006F092M0,R006F092M1,R0R0,0,0.1771,0.2821,-0.2403,-0.173,-0.2093,0
R006F093M0,R006F093M1,R0R0,0,-0.7906,-0.7948,-0.2855,-0.4606,-1.0397,0
R006F094M0,R006F094M1,R0R0,0.0872,0.3346,0.4017,0.0497,0.1298,0.3123,0.0916
R006F095M0,R006F095M1,R0R0,0,-0.1884,-0.0769,-0.389,-0.1278,-0.2403,0
R006F096M0,R006F096M1,R0R0,0.0608,0.2432,0.2821,0.0219,-0.0563,0.2259,0.0608
R006F097M0,R006F097M1,R0R0,0,-0.6423,-0.6751,-0.4116,-0.1897,-0.3711,0
R006F098M0,R006F098M1,R0R0,0.069,-0.1979,-0.3162,0.0061,-0.1162,0.0874,0.1309
R006F099M0,R006F099M1,R0R0,0,-0.0365,0.0428,-0.0115,0.1148,0.182,0
R006F100M0,R006F100M1,R0R0,0.5,0.3511,0.4017,0.3073,0.2017,0.3871,0.5

